Reference Contrat;N° COMPTEUR;Ancien index;Nouvel index;consommation;date de relève;periode
41201092;;69;76;7;;201811
41201083;;82;102;20;;201811
41201096;;540;683;143;;201811
23401004;;2255;2285;30;;201811
23401002;;4498;4610;112;;201811
23401003;;1593;1629;36;;201811
23401008;;2080;2211;131;;201811
23401010;;112943;116791;3848;;201811
23401009;;10145;10750;605;;201811
23401011;;10324;376;506;;201811
23401033;;3005;3274;269;;201811
23401034;;435;448;13;;201811
23401073;;1452;1545;93;;201811
23401032;;916;991;75;;201811
23401080;;617;751;134;;201811
23401087;;867;997;130;;201811
24307016;;3164;3359;195;;201811
24307011;;124;137;13;;201811
23401081;;906;992;86;;201811
24307027;;43;70;27;;201811
23833003;;444;493;49;;201811
23833007;;61;74;13;;201811
23833012;;38;55;17;;201811
23833010;;481;566;85;;201811
23833001;;113;132;19;;201811
22304013;;4957;5280;323;;201811
22301144;;809;857;48;;201811
22304012;;1723;1830;107;;201811
23123009;;150;188;38;;201811
23123012;;218;304;86;;201811
23115012;;31;49;18;;201811
23842015;;149;159;10;;201811
23840001;;34;42;8;;201811
23841017;;540;623;83;;201811
22603001;;4385;4653;268;;201811
22603004;;3323;3423;100;;201811
22703007;;830;911;81;;201811
22603002;;16925;17650;725;;201811
22603007;;1850;1953;103;;201811
22603016;;1051;1109;58;;201811
22603026;;2250;2432;182;;201811
22603010;;1238;1388;150;;201811
22603013;;2799;2964;165;;201811
22603025;;2257;2532;275;;201811
22603029;;114;162;48;;201811
22603030;;0;232;232;;201811
22604005;;9214;9302;88;;201811
22604006;;2438;2446;8;;201811
22604012;;3599;3774;175;;201811
22604013;;4180;4326;146;;201811
22604016;;8949;9335;386;;201811
22604015;;866;873;7;;201811
22604049;;237;252;15;;201811
22604053;;303;361;58;;201811
23849018;;485;645;160;;201811
23849016;;466;563;97;;201811
22604051;;423;328;461;;201811
23849017;;2583;2593;10;;201811
23850024;;567;649;82;;201811
23850036;;381;456;75;;201811
23850025;;744;838;94;;201811
23850013;;152;165;13;;201811
23850002;;478;528;50;;201811
23850023;;54;81;27;;201811
23850042;;699;705;6;;201811
23850044;;48;57;9;;201811
23850040;;432;846;414;;201811
23850045;;1562;2034;472;;201811
23850046;;5;25;20;;201811
23850043;;57;103;46;;201811
23850047;;2127;2138;11;;201811
22704004;;2670;2757;87;;201811
22704003;;2880;2901;21;;201811
22704007;;2748;2811;63;;201811
22704005;;4192;4235;43;;201811
22704006;;3904;3928;24;;201811
22704008;;6876;7104;228;;201811
22704009;;689;701;12;;201811
22704001;;13433;13900;467;;201811
22704012;;6564;7192;628;;201811
22704013;;10694;11135;441;;201811
22704015;;4825;4957;132;;201811
22704018;;1061;1067;6;;201811
22704016;;1922;1951;29;;201811
22704019;;5186;5211;25;;201811
22704014;;1918;1978;60;;201811
22704021;;888;950;62;;201811
22704022;;2710;2850;140;;201811
22704030;;1773;1906;133;;201811
22704031;;14260;15109;849;;201811
22704026;;659;695;36;;201811
22704033;;250;285;35;;201811
22704034;;0;87;87;;201811
22705009;;2723;2809;86;;201811
22705007;;1947;1997;50;;201811
22705008;;1965;2052;87;;201811
22705010;;3278;3473;195;;201811
22705012;;509;532;23;;201811
22705017;;2428;2559;131;;201811
22705019;;1274;1364;90;;201811
22704023;;61463;66772;5309;;201811
22705016;;2342;2596;254;;201811
22705038;;327;348;21;;201811
22528002;;3736;3897;161;;201811
22705037;;265;313;48;;201811
22528001;;991;1000;9;;201811
22528024;;1912;2106;194;;201811
22528042;;1738;1928;190;;201811
22528043;;756;881;125;;201811
22528007;;4143;4524;381;;201811
23854019;;564;688;124;;201811
23854002;;923;1014;91;;201811
24343009;;1269;1374;105;;201811
24343025;;2137;2238;101;;201811
24343027;;2556;2748;192;;201811
24343016;;1332;1453;121;;201811
24343034;;2655;2729;74;;201811
24343017;;1588;1729;141;;201811
24343015;;1840;1978;138;;201811
24343042;;5632;6226;594;;201811
24343018;;1010;1152;142;;201811
24343023;;1164;1289;125;;201811
24343050;;479;591;112;;201811
24343022;;123;136;13;;201811
24343046;;309;375;66;;201811
24343048;;974;1080;106;;201811
24343041;;211;240;29;;201811
24343002;;677;786;109;;201811
24343040;;91;104;13;;201811
24343051;;10;21;11;;201811
24343049;;325;442;117;;201811
22130003;;2190;2276;86;;201811
22130010;;3446;3922;476;;201811
22130012;;246;376;130;;201811
22130013;;6;12;6;;201811
22531001;;8774;9608;834;;201811
23857025;;702;756;54;;201811
23857024;;86;124;38;;201811
23857026;;68;84;16;;201811
23857029;;528;580;52;;201811
23861001;;262;278;16;;201811
24308020;;5496;5553;57;;201811
24308024;;4530;5133;603;;201811
24308025;;6341;6460;119;;201811
23858010;;598;751;153;;201811
24308027;;8486;8807;321;;201811
24308016;;2885;3010;125;;201811
24308012;;4321;4446;125;;201811
24308004;;2800;2908;108;;201811
24308029;;5586;5760;174;;201811
24308035;;169;190;21;;201811
24308036;;410;475;65;;201811
24308039;;6;73;67;;201811
22605010;;6132;6226;94;;201811
22605008;;2371;2486;115;;201811
22605015;;2345;2473;128;;201811
22605022;;3623;3849;226;;201811
22605023;;2523;2683;160;;201811
22605021;;10472;11034;562;;201811
22605045;;116;140;24;;201811
22605033;;2788;2963;175;;201811
22402044;;1673;1743;70;;201811
22402001;;2298;2375;77;;201811
22402046;;5457;5561;104;;201811
22402004;;5587;5791;204;;201811
22402007;;5782;5861;79;;201811
22402011;;1728;1807;79;;201811
22402010;;2900;3023;123;;201811
22402005;;1124;1191;67;;201811
22402013;;7740;8177;437;;201811
22402020;;4408;4821;413;;201811
22402022;;4414;4569;155;;201811
22402021;;2973;3077;104;;201811
22402023;;3299;3465;166;;201811
22402008;;4731;4903;172;;201811
22402015;;52933;55513;2580;;201811
22402025;;5729;5982;253;;201811
22402029;;1684;1751;67;;201811
22402024;;2809;2823;14;;201811
22402027;;1774;1813;39;;201811
22402030;;2355;2457;102;;201811
22402031;;2864;3047;183;;201811
22402033;;3345;3359;14;;201811
22402039;;2400;2534;134;;201811
22402035;;1231;1289;58;;201811
22402036;;453;472;19;;201811
22402032;;1551;1595;44;;201811
22402045;;1587;1656;69;;201811
22402041;;3758;3876;118;;201811
22402040;;2856;2987;131;;201811
22402043;;262;276;14;;201811
22402042;;4488;4696;208;;201811
22402014;;3457;3831;374;;201811
22402047;;1701;1809;108;;201811
22402051;;846;883;37;;201811
22402048;;5746;6087;341;;201811
22402050;;833;871;38;;201811
22402056;;4423;4679;256;;201811
22402059;;1459;1618;159;;201811
22402057;;940;1012;72;;201811
22402063;;360;385;25;;201811
22402006;;5168;5210;42;;201811
22402003;;5564;5720;156;;201811
22402018;;3417;3460;43;;201811
22402016;;968;1101;133;;201811
22402058;;409;498;89;;201811
22402049;;425;506;81;;201811
22402061;;267;307;40;;201811
22402062;;59;88;29;;201811
22107022;;3634;3896;262;;201811
22107026;;2345;2455;110;;201811
22107007;;50802;52602;1800;;201811
22107018;;3639;3788;149;;201811
22107021;;799;844;45;;201811
22107005;;5013;5108;95;;201811
22107009;;554;572;18;;201811
22107012;;598;634;36;;201811
22107017;;2493;2509;16;;201811
22107027;;2181;2412;231;;201811
22107028;;504;594;90;;201811
22107006;;863;1037;174;;201811
22107030;;85;105;20;;201811
22107029;;177;215;38;;201811
22107010;;87;105;18;;201811
