ReferenceContrat;numcompteur;Ancienindex;Nouvelindex;consommation;datereleve;periode;nombrejours;categorie
24340027;24340027-int;118;138;20;25/02/2021;202104;60;DOM
24340029;24340029-int;2559;2800;241;25/02/2021;202104;60;DOM
24340030;24340030-int;142;162;20;25/02/2021;202104;60;DOM
24340031;24340031-int;1576;1651;75;25/02/2021;202104;60;DOM
24340032;24340032-int;200;217;17;25/02/2021;202104;60;DOM
24340033;24340033-int;1070;1126;56;25/02/2021;202104;60;DOM
24340034;24340034-int;54;59;5;25/02/2021;202104;60;DOM
24340035;24340035-int;3948;4152;204;25/02/2021;202104;60;PROD
24340036;24340036-int;809;911;102;25/02/2021;202104;60;DOM
24340037;24340037-int;70;144;74;25/02/2021;202104;60;DOM
24340038;24340038-int;28;36;8;25/02/2021;202104;60;DOM
24340039;24340039-int;36;44;8;25/02/2021;202104;60;DOM
24340040;24340040-int;2635;2941;306;25/02/2021;202104;60;DOM
24340041;24340041-int;35;58;23;25/02/2021;202104;60;DOM
24340042;37219575380-3;665;665;0;25/02/2021;202104;60;PROD
24341001;24341001-int;2267;2324;57;25/02/2021;202104;60;DOM
24341003;24341003-int;2817;3049;232;25/02/2021;202104;60;DOM
24341004;24341004-int;105198;112909;7711;25/02/2021;202104;60;PROD
24341005;24341005-int;1273;1425;152;25/02/2021;202104;60;DOM
24341007;24341007-int;249;287;38;25/02/2021;202104;60;DOM
24341008;24341008-int;975;1100;125;25/02/2021;202104;60;DOM
24341009;24341009-int;663;792;129;25/02/2021;202104;60;DOM
24341010;24341010-int;370;427;57;25/02/2021;202104;60;DOM
24341011;24341011-int;512;521;9;25/02/2021;202104;60;DOM
24341012;24341012-int;130;155;25;25/02/2021;202104;60;DOM
24341013;24341013-int;98;137;39;25/02/2021;202104;60;DOM
24341014;24341014-int;301;537;236;25/02/2021;202104;60;DOM
24341015;24341015-int;42;51;9;25/02/2021;202104;60;DOM
24341016;24341016-int;116;129;13;25/02/2021;202104;60;DOM
