ReferenceContrat;numcompteur;Ancienindex;Nouvelindex;consommation;datereleve;periode;nombrejours;categorie
24329054;37219575536-4;0;4;4;22/10/2020;202010;60;DOM
24329089;37219575679-8;0;13;13;22/10/2020;202010;60;DOM
24329061;37219575604-6;0;12;12;22/10/2020;202010;60;DOM
24329014;37219563071-2;0;21;21;22/10/2020;202010;60;DOM
24329057;37219566173-3;0;12;12;22/10/2020;202010;60;DOM
24329019;37219563824-4;0;195;195;22/10/2020;202010;60;DOM
24329062;37219563188-4;0;96;96;22/10/2020;202010;60;DOM
24329072;37219560424-4;0;18;18;22/10/2020;202010;60;DOM
24329007;37219572866-4;0;35;35;22/10/2020;202010;60;DOM
24329074;37219573468-8;0;75;75;22/10/2020;202010;60;DOM
24329067;37219563758-4;0;54;54;22/10/2020;202010;60;DOM
24329076;37219560184-6;0;10;10;22/10/2020;202010;60;DOM
24329082;37219573484-5;0;149;149;22/10/2020;202010;60;DOM
24329017;37219563741-0;0;304;304;22/10/2020;202010;60;DOM
24329021;37219564392-1;0;25;25;22/10/2020;202010;60;DOM
24329051;37219563022-5;0;37;37;22/10/2020;202010;60;DOM
22301018;37219572924-1;0;54;54;27/10/2020;202010;60;DOM
22301035;37219562719-7;0;50;50;27/10/2020;202010;60;DOM
22301073;37219572478-8;0;15;15;27/10/2020;202010;60;DOM
22302003;37219562800-5;0;73;73;27/10/2020;202010;60;DOM
22301051;37219562818-7;0;12;12;27/10/2020;202010;60;DOM
41213057;82448962;0;267;267;28/10/2020;202010;60;DOM
41213050;82449376;0;210;195;28/10/2020;202010;60;DOM
22101041;3693;9580;9690;110;28/10/2020;202010;30;PRO
22101057;3451;3372;3402;30;28/10/2020;202010;30;PRO
22101032;150303-0195;3232;3326;94;28/10/2020;202010;30;PRO
22607041;41289948;1764;2057;293;28/10/2020;202010;30;PRO
22405011;4251;1566;1614;48;28/10/2020;202010;30;PRO
22405012;4256;3290;3694;404;28/10/2020;202010;30;PRO
22405015;14254328173;11064;11180;116;28/10/2020;202010;30;PRO
22405092;41236281;6588;6588;0;28/10/2020;202010;30;PRO
22405010;170404-0008;2016;2018;2;28/10/2020;202010;30;PRO
22405138;41289959;26544;27967;1423;28/10/2020;202010;30;PRO
22405056;82368690;1902;2068;166;28/10/2020;202010;30;PRO
22609001;41235918;97433;97441;8;28/10/2020;202010;30;PRO
41102005;3978;9994;10606;612;28/10/2020;202010;30;PRO
41101010;3976;6902;7153;251;28/10/2020;202010;30;PRO
41101015;3454;78752;81321;2569;28/10/2020;202010;30;PRO
41106007;150303-0271;2079;2091;12;28/10/2020;202010;30;PRO
41106010;41236477;2602;2923;321;28/10/2020;202010;30;PRO
41106021;41290326;0;0;0;28/10/2020;202010;30;PRO
22201019;30042193;287788;288966;1178;28/10/2020;202010;30;PRO
22201018;30042649;27312;27616;304;28/10/2020;202010;30;PRO
22201032;30042224;0;0;0;28/10/2020;202010;30;PRO
22201030;30042683;33230;33719;489;28/10/2020;202010;30;PRO
22201039;41289795;6516;7430;914;28/10/2020;202010;30;PRO
22201038;30042160;15321;15542;221;28/10/2020;202010;30;PRO
22201054;3809;0;0;0;28/10/2020;202010;30;PRO
22201024;150303-0397;5182;5221;39;28/10/2020;202010;30;PRO
22201060;150303-0056;729;733;4;28/10/2020;202010;30;PRO
22201086;170809-0349;728;728;0;28/10/2020;202010;30;PRO
22201008;27;4903;5052;149;28/10/2020;202010;30;PRO
22201141;8646;1283;1283;0;28/10/2020;202010;30;PRO
22201080;108090200;3335;3432;97;28/10/2020;202010;30;PRO
22201047;150303-0199;4635;4635;0;28/10/2020;202010;30;PRO
22201088;170809-0348;3700;3704;4;28/10/2020;202010;30;PRO
22201026;823369221;805;871;66;28/10/2020;202010;30;PRO
22201029;150303-0350;4862;4879;17;28/10/2020;202010;30;PRO
