ReferenceContrat;numcompteur;Ancienindex;Nouvelindex;consommation;datereleve;periode;nombrejours;categorie
11422114;82369401;105;161;56;28/10/2020;202010;60;DOM
11422084;82449944;334;368;34;28/10/2020;202010;60;DOM
11422178;37219570639;0;11;11;28/10/2020;202010;60;DOM
11422098;82450016;6;17;11;28/10/2020;202010;60;DOM
11422059;82368710;766;805;39;28/10/2020;202010;60;DOM
11422126;82369003;539;610;71;28/10/2020;202010;60;DOM
11422095;82368014;1158;1312;154;28/10/2020;202010;60;DOM
11422111;82368217;1190;1208;18;28/10/2020;202010;60;DOM
11422170;37219570829;8;15;7;28/10/2020;202010;60;DOM
11422055;82449460;519;567;48;28/10/2020;202010;60;DOM
11422046;82367660;1262;1274;12;28/10/2020;202010;60;DOM
11422143;82450218;92;110;18;28/10/2020;202010;60;DOM
11422115;37219572114;118;205;87;28/10/2020;202010;60;DOM
11422096;82448584;25;34;9;28/10/2020;202010;60;DOM
11422014;1604213235;5652;5854;202;28/10/2020;202010;60;DOM
11422093;82368048;1181;1220;39;28/10/2020;202010;60;DOM
11422141;82450416;65;80;15;28/10/2020;202010;60;DOM
11422101;82368612;1300;1367;67;28/10/2020;202010;60;DOM
11422134;82450219;273;292;19;28/10/2020;202010;60;DOM
11422012;141826426;1334;1385;51;28/10/2020;202010;60;DOM
11422152;82449613;132;189;57;28/10/2020;202010;60;DOM
11422172;37219572155;3;8;5;28/10/2020;202010;60;DOM
11422073;82449276;816;867;51;28/10/2020;202010;60;DOM
11422119;82448642;147;182;35;28/10/2020;202010;60;DOM
11422183;37219559988;0;268;268;28/10/2020;202010;60;DOM
11422090;82450458;730;903;173;28/10/2020;202010;60;DOM
11422070;37219560416;9;13;4;28/10/2020;202010;60;DOM
11422060;82450394;883;1072;189;28/10/2020;202010;60;DOM
11422063;82368298;2495;2496;1;28/10/2020;202010;60;DOM
11422021;141826441;459;489;30;28/10/2020;202010;60;DOM
11422067;82368640;454;474;20;28/10/2020;202010;60;DOM
11422138;82450333;108;122;14;28/10/2020;202010;60;DOM
11422051;82368087;763;789;26;28/10/2020;202010;60;DOM
11422131;82450409;235;355;120;28/10/2020;202010;60;DOM
11420009;82350373;7835;9533;1698;28/10/2020;202010;60;DOM
11422026;141826396;325;360;35;28/10/2020;202010;60;DOM
11422027;141826442;745;891;146;28/10/2020;202010;60;DOM
11422082;82368305;1357;1435;78;28/10/2020;202010;60;DOM
11422007;140826427;1905;1927;22;28/10/2020;202010;60;DOM
11422120;82450354;357;364;7;28/10/2020;202010;60;DOM
11422069;82367870;166;187;21;28/10/2020;202010;60;DOM
11422080;82368675;1127;1141;14;28/10/2020;202010;60;DOM
11422116;82450507;164;195;31;28/10/2020;202010;60;DOM
11422154;82449140;809;971;162;28/10/2020;202010;60;DOM
11423003;41289941;2469;2971;502;28/10/2020;202010;30;PRO
11423001;82448561;17;21;4;28/10/2020;202010;60;DOM
11422094;82448827;661;785;124;28/10/2020;202010;60;DOM
11901073;1708090022;6984;7219;235;28/10/2020;202010;60;DOM
11901052;1708090354;3761;3963;202;28/10/2020;202010;60;DOM
11901103;141826420;2432;2551;119;28/10/2020;202010;60;DOM
11901101;1604213675;802;881;79;28/10/2020;202010;60;DOM
